id	ko	ja	pos	pos_tag	lemma
594	미용실	美容室	Noun	NNG	미용실
595	미터	メートル	Noun	NNB	미터
596	민속촌	民俗村	Noun	NNG	민속촌
597	밀가루	小麦粉	Noun	NNG	밀가루
598	밀리다	滞る	Verb	VV	밀리다
599	밑	下、底	Noun	NNG	밑
600	바꾸다	変える	Verb	VV	바꾸다
601	바뀌다	変わる	Verb	VV	바뀌다
602	바나나	バナナ	Noun	NNG	바나나
603	바다	海	Noun	NNG	바다
604	바닷가	海辺、浜辺	Noun	NNG	바닷가
605	바라다	願う	Verb	VV	바라다
606	바람	風	Noun	NNG	바람
607	바로	すぐに、まさに	Adverb	MAG	바로
608	바르다	塗る、つける	Adjective	VA	바르다
609	바쁘다	忙しい	Adjective	VA	바쁘다
610	바이올린	バイオリン	Noun	NNG	바이올린
611	바지	ズボン	Noun	NNG	바지
612	박물관	博物館	Noun	NNG	박물관
613	박수	拍手	Noun	NNG	박수
614	밖	外	Noun	NNG	밖
615	반	半分、班	Noun	NNG	반
616	반갑다	嬉しい	VA-I	VA-I	반갑다
617	반갑습니다	お会いできて嬉しいです	VA-I	VA-I	반갑다
618	반년	半年	Noun	NNG	반년
619	반달	半月	Noun	NNG	반달
620	반바지	半ズボン	Noun	NNG	반바지
621	반지	指輪	Noun	NNG	반지
622	반찬	おかず	Noun	NNG	반찬
623	받다	受ける、受け取る	VV-R	VV-R	받다
624	발	足	Noun	NNG	발
625	발가락	足の指	Noun	NNG	발가락
626	발음	発音	Noun	NNG	발음
627	발전	発展	Noun	NNG	발전
628	발표	発表	Noun	NNG	발표
629	밝다	明るい	Adjective	VA	밝다
630	밤	夜	Noun	NNG	밤
631	밥	ご飯、食事	Noun	NNG	밥
632	방	部屋	Noun	NNG	방
633	방법	方法	Noun	NNG	방법
634	방송	放送	Noun	NNG	방송
635	방송국	放送局	Noun	NNG	방송국
636	방학	（夏休み、冬休みなど、学校の長期の）休み	Noun	NNG	방학
637	배	お腹、船、梨	Noun	NNG	배
638	배고프다	空腹だ	Adjective	VA	배고프다
639	배구	バレーボール	Noun	NNG	배구
640	배달	配達、出前	Noun	NNG	배달
641	배부르다	お腹いっぱいだ、満腹だ	Adjective	VA	배부르다
642	배우	俳優	Noun	NNG	배우
643	배우다	習う、教わる	Noun	NNG	배우
644	배탈	腹痛	Noun	NNG	배탈
645	백	100	Numeral	NR	백
