id	ko	ja	pos	pos_tag	lemma
1052	열쇠	鍵	Noun	NNG	열쇠
1053	열심히	熱心に、懸命に	Adverb	MAG	열심히
1054	열차	列車	Noun	NNG	열차
1055	엽서	はがき	Noun	NNG	엽서
1056	영	ゼロ	Numeral	NR	영
1057	영국	英国、イギリス	Noun	NNP	영국
1058	영상	映像	Noun	NNG	영상
1059	영어	英語	Noun	NNP	영어
1060	영어회화	英会話	Noun	NNP	영어
1061	영하	零下、氷点下	Noun	NNP	영하
1062	영화	映画	Noun	NNG	영화
1063	영화관	映画館	Noun	NNG	영화관
1064	영화배우	映画俳優	Noun	NNG	영화배우
1065	영화표	映画のチケット	Noun	NNG	영화표
1066	옆	横	Noun	NNG	옆
1067	예	はい	Interjection	IC	예
1068	예문	例文	Noun	NNG	예문
1069	예쁘다	きれいだ	Adjective	VA	예쁘다
1070	예순	60	Numeral	NR	예순
