id	ko	ja	pos	pos_tag	lemma
143	계산서	計算書	Noun	NNG	계산서
144	계약	契約	Noun	NNG	계약
145	계약금	契約金	Noun	NNG	계약금
146	계약서	契約書	Noun	NNG	계약서
147	계좌	口座	Noun	NNG	계좌
148	계층	階層	Noun	NNG	계층
149	계획성	計画性	Noun	NNG	계획
150	계획적	計画的	Noun	NNG	계획
151	고개	頭、峠	Noun	NNG	고개
152	고객	顧客	Noun	NNG	고객
153	고구마	さつまいも	Noun	NNG	고구마
154	고궁	昔の韓国の宮殿	Noun	NNG	고궁
155	고급	高級	Noun	NNG	고급
156	고래	クジラ	Noun	NNG	고래
157	고마움	ありがたみ	VA-I	VA-I	고맙다
158	고무신	ゴム靴	Noun	NNG	고무신
159	고무줄	輪ゴム	Noun	NNG	고무줄
160	고민	悩み	Noun	NNG	고민
161	고백	告白	Noun	NNG	고백
162	고생	苦労	Noun	NNG	고생
163	고소하다	香ばしい	Adjective	VA	고소하다
164	고속	高速	Noun	NNG	고속
165	고속도로	高速道路	Noun	NNG	고속도로
166	고아원	孤児院	Noun	NNG	고아원
167	고유하다	固有である	Noun	NNG	고유
168	고지서	告知書	Noun	NNG	고지서
169	고집	固執	Noun	NNG	고집
170	고춧가루	唐辛子粉	Noun	NNG	고춧가루
171	고층	高層	Noun	NNG	고층
172	고통	苦痛	Noun	NNG	고통
173	곤란	困難	Noun	NNG	곤란
174	골고루	均等に	Adverb	MAG	골고루
175	골목길	路地	Noun	NNG	골목길
176	골치가 아프다	非常に面倒だ	Noun	NNG	골치
177	곰	クマ	Noun	NNG	곰
178	곱슬머리	くせ毛、天然パーマ	Noun	NNG	곱슬머리
179	곳곳	あちこち、至るところ	Noun	NNG	곳곳
180	공공요금	公共料金	Noun	NNG	공공요금
181	공공장소	公共の場所	Noun	NNP	공공장소
182	공동	共同	Noun	NNG	공동
183	공동생활	共同生活	Noun	NNG	공동생활
184	공사	工事	Noun	NNG	공사
185	공손하다	礼儀正しい	XR	XR	공손
186	공연장	公演会場	Noun	NNG	공연장
187	공장	工場	Noun	NNG	공장
188	공주	お姫様	Noun	NNG	공주
189	공통	共通	Noun	NNG	공통
190	공통점	共通点	Noun	NNG	공통점
191	공포	恐怖	Noun	NNG	공포
192	공해	公害	Noun	NNG	공해
193	과로	過労	Noun	NNG	과로
194	과목	科目	Noun	NNG	과목
195	과소비	浪費	XPN	XPN	과
196	과속	スピード違反、	Noun	NNG	과속
197	과식	食べ過ぎ	Noun	NNG	과식
198	과연	果たして	Adverb	MAG	과연
199	과외	家庭教師レッスン	Noun	NNG	과외
200	과음	飲み過ぎ	Noun	NNG	과음
201	과장	課長	Noun	NNG	과장
202	과장하다	誇張する	Noun	NNG	과장
203	과정	過程	Noun	NNG	과정
204	과제	課題	Noun	NNG	과제
205	과학자	科学者	Noun	NNG	과학자
206	과학적	科学的	Noun	NNG	과학
207	관객	観客	Noun	NNG	관객
208	관계없다	関係ない	Adjective	VA	관계없다
209	관계자	関係者	Noun	NNG	관계자
210	관광	観光	Noun	NNG	관광
211	관광객	観光客	Noun	NNG	관광객
212	관광지	観光地	Noun	NNG	관광지
213	관람	観覧	Noun	NNG	관람
214	관람객	観覧客	Noun	NNG	관람객
215	관련	関連	Noun	NNG	관련
216	관련성	関連性	Noun	NNG	관련
217	관리	管理	Noun	NNG	관리
218	관리실	管理室	Noun	NNG	관리실
219	관용어	慣用句	Noun	NNG	관용어
220	관찰	観察	Noun	NNG	관찰
221	광장	広場	Noun	NNG	광장
222	괜히	訳もなく	Adverb	MAG	괜히
223	괴로움	辛さ	Noun	NNG	괴로움
224	괴로워하다	煩う(わずら)	Verb	VV	괴로워하다
225	괴롭다	辛い	VA-I	VA-I	괴롭다
226	괴롭히다	苦しめる、いじめる	Verb	VV	괴롭히다
227	굉장하다	凄い	XR	XR	굉장
228	굉장히	ものすごく	Adverb	MAG	굉장히
229	교사	教師	Noun	NNG	교사
230	교외	郊外	Noun	NNG	교외
231	교육	教育	Noun	NNG	교육
232	교육자	教育者	Noun	NNG	교육자
233	교육학	教育学	Noun	NNG	교육학
234	교재	教材	Noun	NNG	교재
235	교통수단	交通手段	Noun	NNG	교통
236	교통편	交通手段	Noun	NNG	교통편
237	교포	同胞	Noun	NNG	교포
238	교환	交換	Noun	NNG	교환
239	구두쇠	ケチ	Noun	NNG	구두쇠
240	구르다	転がる	Verb	VV	구르다
241	구매	購買	Noun	NNG	구매
242	구멍	穴	Noun	NNG	구멍
243	구별	区別	Noun	NNG	구별
244	구분	区分	Noun	NNG	구분
245	구성	構成	Noun	NNG	구성
246	구이	焼き物	Noun	NNG	구이
247	구인	求人	Noun	NNG	구인
248	구입	購入	Noun	NNG	구입
249	구조	構造	Noun	NNG	구조
250	구조대	救助隊	Noun	NNG	구조대
251	구체적	具体的	Noun	NNG	구체
252	국가	国家	Noun	NNG	국가
253	국그릇	汁椀	Noun	NNG	국그릇
254	국내선	国内線	Noun	NNG	국내선
255	국문학	国文学	Noun	NNG	국문학
256	국물	汁、スープ	Noun	NNG	국물
257	국민	国民	Noun	NNG	국민
258	국악	伝統音楽	Noun	NNG	국악
259	국외	国外	Noun	NNG	국외
260	국제결혼	国際結婚	Noun	NNG	국제결혼
261	국제선	国際線	Noun	NNG	국제선
262	국화	菊	Noun	NNG	국화
263	군대	軍隊	Noun	NNG	군대
264	군데	所	Noun	NNG	군데
265	굵다	太い	Adjective	VA	굵다
266	궁금증	気がかり	Noun	NNG	궁금증
267	궁금하다	気になる	XR	XR	궁금
268	권하다	すすめる	Verb	VV	권하다
269	귀걸이	イヤリング	Noun	NNG	귀걸이
270	귀국	帰国	Noun	NNG	귀국
271	귀신	幽霊、お化け	Noun	NNG	귀신
272	귀중하다	貴重だ	Adjective	VA	귀중하다
273	귀찮다	面倒くさい	Adjective	VA	귀찮다
274	귀하다	尊い、高貴だ、立派だ	Adjective	VA	귀하다
275	규칙적	規則的	Noun	NNG	규칙
276	그네	ブランコ	Pronoun	NP	그네
277	그녀	彼女	Pronoun	NP	그녀
278	그늘	日陰	Noun	NNG	그늘
279	그대로	そのまま	Adverb	MAG	그대로
280	그래도	それでも	Adverb	MAJ	그래도
281	그래야	そうしてこそ	VA-I	VA-I	그렇다
282	그래프	グラフ	Noun	NNG	그래프
283	그러니	だから	Verb	VV	그러다
284	그러다가	そうこうするうちに	Verb	VV	그러다
285	그러므로	それゆえ	Adverb	MAJ	그러므로
286	그러자	すると	Verb	VV	그러다
287	그러하다	そのようだ	Adjective	VA	그러하다
288	그루	～株、～本	Noun	NNB	그루
289	그룹	グループ	Noun	NNG	그룹
290	그리	それほど	Adverb	MAG	그리
291	그리워하다	なつかしがる	Verb	VV	그리워하다
292	그리하여	そうして	Adverb	MAJ	그리하여
293	그림책	絵本	Noun	NNG	그림책
294	그립다	懐かしい、恋しい	VA-I	VA-I	그립다
295	그만두다	やめる	Adverb	MAG	그만
296	그만큼	それくらい	Adverb	MAG	그만큼
297	그저	ただ	Adverb	MAG	그저
298	근데	ところで	Adverb	MAJ	근데
299	근로자	勤労者	Noun	NNG	근로자
300	근무	勤務	Noun	NNG	근무
301	근육	筋肉	Noun	NNG	근육
302	글쎄	まあ	Interjection	IC	글쎄
303	글쓴이	著者	Noun	NNG	글쓴이
304	글씨	文字	Noun	NNG	글씨
305	글자	文字	Noun	NNG	글자
306	긁다	掻く(かく）、ひっかく	Verb	VV	긁다
307	금	金	Adjective	VA	그다
308	금메달	金メダル	Noun	NNG	금메달
309	금액	金額	Noun	NNG	금액
310	금지	禁止	Noun	NNG	금지
311	급히	急に	Adverb	MAG	급히
312	긍정적	肯定的、前向き	Noun	NNG	긍정
313	기계	機械	Noun	NNG	기계
314	기념	記念	Noun	NNG	기념
315	기념관	記念館	Noun	NNG	기념관
316	기념일	記念日	Noun	NNG	기념일
317	기념품	記念品	Noun	NNG	기념품
318	기능	機能	Noun	NNG	기능
319	기다	這う	Noun	NNG	기
320	기대	期待	Noun	NNG	기대
