No.	한글	日本語	예문	例文
66	～고 있다	～している	지금 무슨말 할까 생각하고 있어요.	今、なんて言おうか考えています。
67	～군요	～ですね	병원에 가려면 여기 쭉 가면 되는군요.	病院に行こうとしたらここをまっすぐ行けばいいのですね。
68	～기 때문에	～のせいで	너무 많이 걸었기 때문에 다리가 피곤해요.	とても沢山歩いた せいで 、足が疲れています。
69	～기 전에	～の前に	결제하기 전에 확인하고 싶은게 있는데요 .	支払いの前に確認したいことがあるのですが。
70	～기로 하다	～することにする	제가 여행중이라 조금만 마시기로 했어요.	私が旅行中なので、少しだけ飲むことにしました。
71	～네요	～ですね	그럼 다 합쳐서 4000원이네요?	そしたら、すべて合わせて4000ウォンです ね ？
72	～는 게 좋겠다	～するのがよい	시간이 없으니까 빨리 가는 게 좋겠어요.	時間がないので、急いで行った方がいいですよ。
73	～는데	～するのに	입국심사하는데 별로 많이 안 기다렸어요.	入国審査するのに、あまり待ちませんでした。
74	～ ㅂ / 습니까 ?	～ですか ?	언제 한국에 갑니까?	いつ韓国に行きますか？
75	～ㅂ/습니다	～です	내일 한국에 갑니다.	明日、韓国に行きます。
76	～아/어/여 보다	～してみる	이것도 시식해보세요.	これも試食してみてください
77	～아/어/여 주다	～してくれる	알려줘서 고맙습니다.	教えてくださり、有難うございます。
78	～아/어/여야 되다	～しなければならない	봉투는 따로 구매하셔야 됩니다.	袋は別途に購入しなければなりません。
79	～아/어/여야 하다	～しなければならない	차타고 가야 합니다.	車に乗っていかなければなりません。
80	～아/어요	～です	좋아요.	良いです。
81	～았/었/였으면 좋겠다	～したらいい	빨리 배달 왔으면 좋겠는데.	早く配達が来たらいいのに。
82	～지 말다	～しないで	담배피우지 마세요.	タバコ吸わないでください。
83	～지 못하다	～できない	도와주지 못해서 죄송합니다.	お役に立てれずにすみません。
84	～지 않다	～しな い	지하철 타지 않고 걸어갈게요.	地下鉄に乗らないで、歩いていきますね。
85	～지만	～だが	오래 전에 주문했지만 요리가 아직 안 왔어요.	ずっと前に注文したのです が 、料理がまだ来てません。
